585	chr1	10461	10476	UA1	2.02	-
585	chr1	10464	10479	UA1	2.26	+
585	chr1	16245	16260	CTCF	1.97	-
585	chr1	89933	89948	NFY	1.95	-
585	chr1	91265	91280	CTCF	1.4	+
585	chr1	91419	91434	CTCF	2.07	+
585	chr1	91421	91436	CTCF	2.8	-
585	chr1	91431	91446	CTCF	1.95	-
585	chr1	104986	105001	CTCF	2.83	+
586	chr1	138972	138987	CTCF	3.43	-
586	chr1	235779	235796	FOXA	1.06	-
586	chr1	237724	237732	RUNX1	1.15	-
586	chr1	237749	237764	CTCF	2.25	+
586	chr1	237751	237766	CTCF	3.15	-
586	chr1	237753	237774	UAK25	1.47	+
586	chr1	237757	237768	UAK26	2.03	+
586	chr1	237761	237776	CTCF	2.57	-
586	chr1	237765	237776	UAK27	0.92	+
586	chr1	243710	243727	v-Maf	1.74	+
588	chr1	521524	521545	UAK25	1.3	-
588	chr1	521532	521547	CTCF	2.93	+
588	chr1	521534	521549	CTCF	3.45	-
588	chr1	521536	521557	UAK25	1.47	+
588	chr1	521540	521551	UAK26	2.03	+
588	chr1	521544	521559	CTCF	2.53	-
588	chr1	521548	521559	UAK27	0.92	+
589	chr1	534337	534348	USF	1.9	+
589	chr1	534337	534347	BHLHE40	1.13	-
589	chr1	534338	534349	USF	2.14	-
589	chr1	534339	534349	BHLHE40	1.02	+
589	chr1	534388	534402	HNF4	1.28	-
589	chr1	534404	534419	RXRA	0.85	+
589	chr1	534473	534487	AP1	1.79	+
589	chr1	540673	540692	NFE2	2.89	-
589	chr1	540673	540690	v-Maf	2.28	+
589	chr1	540831	540845	MYC	1.18	+
589	chr1	540863	540878	NRF1	2.27	-
589	chr1	540866	540881	NRF1	2.23	+
589	chr1	545980	545995	CTCF	3.27	-
589	chr1	546048	546063	CTCF	3.27	-
589	chr1	546116	546131	CTCF	3.74	-
589	chr1	601152	601169	FOXA	1.95	+
589	chr1	601210	601227	FOXA	1.26	-
589	chr1	610949	610963	HNF4	1.26	-
590	chr1	664719	664734	CTCF	2.54	-
590	chr1	664870	664885	CTCF	2.02	-
590	chr1	710609	710625	PAX5	1.63	+
590	chr1	713977	713992	YY1	2.17	-
590	chr1	713982	714003	UAK17	1.41	+
590	chr1	714005	714027	UAK18	1.8	-
590	chr1	714007	714028	UAK17	1.1	+
590	chr1	714027	714042	SP1	1.86	-
590	chr1	714052	714067	SP1	2.28	-
590	chr1	714055	714077	UAK18	3.09	-
590	chr1	714057	714078	UAK17	3.06	+
590	chr1	714062	714077	v-JUN	1.8	+
590	chr1	714064	714085	UAK17	1.3	-
590	chr1	714065	714087	UAK18	2.04	+
590	chr1	714065	714080	v-JUN	2.09	-
590	chr1	714079	714097	CREB-ext	3.71	-
590	chr1	714080	714102	UAK18	2.6	-
590	chr1	714082	714103	UAK17	2.43	+
590	chr1	714087	714102	v-JUN	1.82	+
590	chr1	714089	714110	UAK17	1.08	-
590	chr1	714090	714112	UAK18	1.8	+
590	chr1	714090	714105	v-JUN	1.84	-
590	chr1	714095	714110	EBF1	1.51	+
590	chr1	714104	714125	ZNF143-ext	2.46	+
590	chr1	714120	714135	NFY	2.91	-
590	chr1	714129	714144	UA1	1.89	-
590	chr1	714136	714158	EGR1	1.94	+
590	chr1	714163	714178	NRF1	2.05	-
590	chr1	714177	714195	CREB-ext	1.08	-
590	chr1	714182	714197	CTCF	2.21	+
590	chr1	714182	714193	UAK27	0.91	-
590	chr1	714191	714206	UAK42	2.31	+
590	chr1	714213	714230	v-Maf	1.78	-
590	chr1	714221	714232	UAK26	0.95	+
590	chr1	714230	714245	RFX5	1.23	+
590	chr1	714244	714259	UA6	2.55	+
590	chr1	714272	714287	CTCF	2.8	-
590	chr1	714337	714358	UAK25	1.23	+
590	chr1	714428	714436	UAK52	0.77	-
590	chr1	714430	714438	UAK52	0.84	+
590	chr1	714564	714579	EBF1	1.88	-
590	chr1	714571	714579	UAK30	0.75	-
590	chr1	715115	715129	CEBPB	1.47	+
590	chr1	715280	715291	ELF1	2.17	+
590	chr1	740283	740298	NFKB1	1.15	+
590	chr1	740295	740309	MYC	0.79	-
590	chr1	740297	740311	MYC	1.24	+
590	chr1	740297	740311	MAX	1.45	+
590	chr1	748042	748061	NFE2	1.1	+
590	chr1	748043	748064	UAK41	1	-
590	chr1	748044	748061	v-Maf	2.06	-
590	chr1	748292	748306	CEBPB	2.14	+
590	chr1	762463	762478	ZNF263	2.37	-
590	chr1	762485	762500	ZNF263	2.48	-
590	chr1	762693	762706	UA2	1.81	-
590	chr1	762711	762722	GABP	1.36	-
590	chr1	762711	762722	ELF1	1.2	-
590	chr1	762721	762736	UA1	0.74	+
590	chr1	762724	762744	E2F4	1.74	+
590	chr1	762747	762762	RFX5	0.6	+
590	chr1	762805	762820	UAK42	2.87	+
590	chr1	762809	762824	SP1	1.65	+
590	chr1	762858	762874	PAX5	1.72	+
590	chr1	762863	762883	UAK21	1.22	-
590	chr1	762885	762900	RFX5	0.69	+
590	chr1	762889	762900	GABP	2.16	-
590	chr1	762889	762900	ELF1	1.83	-
590	chr1	762907	762922	UA1	0.67	-
590	chr1	762909	762924	UA1	0.86	-
590	chr1	762911	762931	E2F4	1.84	-
590	chr1	762912	762927	UA1	0.71	+
590	chr1	762915	762930	UAK42	3.54	+
590	chr1	762918	762931	UA2	0.96	-
590	chr1	762919	762934	SP1	3.29	+
590	chr1	762935	762950	UAK42	2.26	+
